empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,lat_long
13,7,2ef000bc9d4650d8cc6198c4d570b19f,49.277483,-123.114279,Beatty & Robson,2023-09-21 19:03:51.750000,4,true,1695322991,"49.277483,-123.114279"
2,12,b7683a86874e6300fd89f4cc0b075f57,49.275679,-123.116963,Beatty & Nelson,2023-09-21 19:03:51.751000,0,true,1695322902,"49.275679,-123.116963"
2,18,3367c1e1dbf73caf7c10e4c96a92f58d,49.282759,-123.106955,Abbott & Cordova,2023-09-21 19:03:51.196000,4,true,1695322931,"49.282759,-123.106955"
11,7,1d7e73b3321ebb6713774d376247d9f9,49.288444,-123.139203,Comox & Denman,2023-09-21 19:03:51.198000,0,true,1695322998,"49.288444,-123.139203"
0,15,664502c28e8147615f17b8ea355f40d0,49.289124,-123.12196,Cordova & Bute,2023-09-21 19:03:51.189000,3,true,1695322888,"49.289124,-123.12196"
14,0,6c24a62b5ee0a2a8014eb0dfb6d40025,49.28062,-123.12482,Hornby & Nelson,2023-09-21 19:03:51.190000,0,true,1695323010,"49.28062,-123.12482"
8,7,fad9ebcf614dd1a72593a34072ff76f8,49.279938,-123.127478,Helmcken & Burrard,2023-09-21 19:03:51.178000,6,true,1695322887,"49.279938,-123.127478"
12,2,3a4131fa94946d93d3529136efd62413,49.273663,-123.127075,Pacific & Richards,2023-09-21 19:03:51.230000,1,true,1695323016,"49.273663,-123.127075"
7,6,25318ec3e06fae1397a3a2f645104149,49.28972,-123.144028,Chilco & Beach,2023-09-21 19:03:51.234000,0,true,1695322714,"49.28972,-123.144028"
11,1,444991edc9550be0908f032da5e3c95f,49.285253,-123.134356,Comox & Broughton,2023-09-21 19:03:51.222000,0,true,1695322537,"49.285253,-123.134356"
16,6,434b6f4e7fc30198f901b60fc905f609,49.283343,-123.131099,Bute & Comox,2023-09-21 19:03:51.268000,0,true,1695322740,"49.283343,-123.131099"
17,15,f97d5bf41f35aa181288429fb52e3488,49.284605,-123.108662,Cambie & Water,2023-09-21 19:03:51.267000,3,true,1695323002,"49.284605,-123.108662"
6,21,fef69fb400210d861107a61db954d037,49.279821,-123.10802,Keefer & Abbott,2023-09-21 19:03:51.267000,0,true,1695322904,"49.279821,-123.10802"
2,14,9d3123425823420514b8ad410074f02d,49.278004,-123.105664,Expo & Carrall,2023-09-21 19:03:51.274000,4,true,1695322967,"49.278004,-123.105664"
1,12,f1ca711137cde59e824167a4274df888,49.279342,-123.101822,Keefer & Columbia,2023-09-21 19:03:51.272000,2,true,1695322876,"49.279342,-123.101822"
21,5,4f6ebf2026d540ffe40e29a80138ad5e,49.273833,-123.114373,Marinaside & Cooperage,2023-09-21 19:03:51.269000,0,true,1695322976,"49.273833,-123.114373"
14,11,be14efdc86dedd6a8cd338e78ab4e7c7,49.28526,-123.141809,Bidwell & Burnaby,2023-09-21 19:03:51.446000,0,true,1695322831,"49.28526,-123.141809"
13,15,6ddeafa873279951630a00191333c45d,49.281506,-123.120101,Robson & Granville,2023-09-21 19:03:51.446000,11,true,1695322695,"49.281506,-123.120101"
3,10,c7b5bec0b2f4ab9a2d3f9d837725620c,49.276115,-123.114496,Expo & Smithe,2023-09-21 19:03:51.437000,0,true,1695322909,"49.276115,-123.114496"
6,15,b9fd847d53fe45658fee4c46e7f562b8,49.272827,-123.147744,Cypress & Cornwall,2023-09-21 19:03:51.445000,0,true,1695322947,"49.272827,-123.147744"
2,26,c2be5403b1c101e8032cf6696457200e,49.269361,-123.13782,Anderson & 2nd,2023-09-21 19:03:51.436000,7,true,1695322681,"49.269361,-123.13782"
9,5,71c064fa93cab5f0b7306e6c923b77c4,49.2653,-123.13811,7th & Granville,2023-09-21 19:03:51.455000,0,true,1695322779,"49.2653,-123.13811"
